"Gene","c1.lymph","c1.wbc","c1.crp","c1.ulccol","c1.crohns","c1.MS","c1.RA","c1.SLE","c1.T1D","c1.AD","c1.PD","c1.ALS","c1.epilepsy","c1.stroke","c2.lymph","c2.wbc","c2.crp","c2.ulccol","c2.crohns","c2.MS","c2.RA","c2.SLE","c2.T1D","c2.AD","c2.PD","c2.ALS","c2.epilepsy","c2.stroke","c3.lymph","c3.wbc","c3.crp","c3.ulccol","c3.crohns","c3.MS","c3.RA","c3.SLE","c3.T1D","c3.AD","c3.PD","c3.ALS","c3.epilepsy","c3.stroke","c4.lymph","c4.wbc","c4.crp","c4.ulccol","c4.crohns","c4.MS","c4.RA","c4.SLE","c4.T1D","c4.AD","c4.PD","c4.ALS","c4.epilepsy","c4.stroke"
"ACBD6",2.37858687838112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1999891718229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35650600118683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACP1",2.09818674574648,2.06104153532777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39778124864803,NA,2.75146851208458,2.24793764474678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38413596117589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACYP1",2.64913944332992,2.14357727481093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51625172058565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85790690716706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19676161676695,NA,NA
"ADCY6",2.13199707231674,3.78360679003107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19476627192736,-2.21765664130623,2.52030171741273,2.35661657282663,NA,NA,2.35491974024947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AKAP17A",2.10925398557853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21431590005847,2.79802516717199,NA,NA,NA,NA,NA,NA,2.273447660796,NA,NA,NA,NA,NA,2.46365621809297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALAS1",2.57035326804093,NA,NA,NA,NA,NA,NA,NA,2.16881561406005,NA,NA,NA,NA,NA,NA,2.45978277243475,NA,NA,NA,NA,NA,NA,NA,2.09612215366621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50652801926198,NA,NA,-3.0995740908045,NA,NA,NA,NA,2.13685447343709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANAPC11",2.22293007831811,NA,2.40131131472985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84143737460976,2.59418978135038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54768617708485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19334408638086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANXA7",2.14569687774418,2.68456343091574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99834742900102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13073421141659,2.30293419856965,NA,NA,3.19548518836895,-3.3195278242503,NA,NA,NA,NA,NA,NA,NA,NA,2.64961324945048,3.53348063474474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARHGEF6",2.20767767270702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17634260587603,2.76865292487876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08542122919452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88637695371764,NA,NA,NA,NA,NA,NA,NA
"ARID5A",2.06692163498892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88228466749741,NA,NA,NA,NA,-2.38436039601726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.16291818482712,NA,NA,NA,NA,NA,NA,NA,NA
